days,time,wave-height,periods,energy,wind,wind-state,beach,tides
"14-11, Monday",AM,1.6NW,13,878,15ESE,cross-off,Caleta de Caballo,Subiendo hasta las 16:59h PM
"14-11, Monday",PM,1.8NW,13,1067,15ESE,cross-off,Caleta de Caballo,Subiendo hasta las 16:59h PM
"14-11, Monday",AM,1.6NW,13,802,15ESE,cross-off,El Golfo,Subiendo hasta las 16:59h PM
"14-11, Monday",PM,1.7NW,13,976,20ESE,off,El Golfo,Subiendo hasta las 16:59h PM
"14-11, Monday",AM,1.6NW,13,814,10ESE,cross-off,Famara-Papelillo,Subiendo hasta las 16:59h PM
"14-11, Monday",PM,1.7NW,13,976,15ESE,off,Famara-Papelillo,Subiendo hasta las 16:59h PM
"14-11, Monday",AM,1.6NW,13,878,15ESE,off,Izquierda de la Santa,Subiendo hasta las 16:59h PM
"14-11, Monday",PM,1.8NW,13,1067,15ESE,cross-off,Izquierda de la Santa,Subiendo hasta las 16:59h PM
"14-11, Monday",AM,1.6NW,13,802,15ESE,cross-off,Janubio,Subiendo hasta las 16:59h PM
"14-11, Monday",PM,1.7NW,13,976,20ESE,cross-off,Janubio,Subiendo hasta las 16:59h PM
"15-11, Tuesday",AM,1.7NNW,13,1030,15E,cross-off,El Golfo,Subiendo hasta las 05:24h AM
"15-11, Tuesday",PM,1.8NW,14,1249,15E,cross-off,El Golfo,Subiendo hasta las 18:27h PM
"15-11, Tuesday",AM,1.7NNW,14,1193,15ENE,cross-off,Famara-Papelillo,Subiendo hasta las 05:24h AM
"15-11, Tuesday",PM,1.9NNW,13,1216,15ENE,cross-off,Famara-Papelillo,Subiendo hasta las 18:27h PM
"15-11, Tuesday",AM,1.8NNW,14,1332,15ENE,off,Izquierda de la Santa,Subiendo hasta las 05:24h AM
"15-11, Tuesday",PM,1.9NNW,14,1272,15ENE,off,Izquierda de la Santa,Subiendo hasta las 18:27h PM
"15-11, Tuesday",AM,1.7NNW,13,1030,15E,off,Janubio,Subiendo hasta las 05:24h AM
"15-11, Tuesday",PM,1.8NW,14,1249,15E,off,Janubio,Subiendo hasta las 18:27h PM
"16-11, Wednesday",AM,2.1NNW,14,1653,10ENE,cross-off,El Golfo,Subiendo hasta las 06:57h AM
"16-11, Wednesday",PM,2.1NNW,14,1614,5NE,cross-off,El Golfo,Subiendo hasta las 20:10h Night
"16-11, Wednesday",AM,2.1NNW,14,1772,10ENE,cross-off,Famara-Papelillo,Subiendo hasta las 06:57h AM
"16-11, Wednesday",PM,2.2NNW,14,1748,15ENE,cross-off,Famara-Papelillo,Subiendo hasta las 20:10h Night
"16-11, Wednesday",AM,2.3NNW,14,2002,15ENE,off,Izquierda de la Santa,Subiendo hasta las 06:57h AM
"16-11, Wednesday",PM,2.2NNW,14,1748,15ENE,cross-off,Izquierda de la Santa,Subiendo hasta las 20:10h Night
"16-11, Wednesday",AM,2.1NNW,14,1653,15ENE,off,Janubio,Subiendo hasta las 06:57h AM
"16-11, Wednesday",PM,2.1NNW,14,1614,10ENE,off,Janubio,Subiendo hasta las 20:10h Night
"17-11, Thursday",AM,2.4NNW,16,2859,10NE,cross-off,El Golfo,Subiendo hasta las 08:26h AM
"17-11, Thursday",AM,2.5NNW,16,3412,10NE,cross-off,Izquierda de la Santa,Subiendo hasta las 08:26h AM
"17-11, Thursday",PM,2.5NNW,15,2792,20NNE,cross-off,Izquierda de la Santa,Subiendo hasta las 21:21h Night
"17-11, Thursday",AM,2.4NNW,16,2859,10ENE,off,Janubio,Subiendo hasta las 08:26h AM
"17-11, Thursday",PM,2.4NNW,15,2446,15NNE,cross-off,Janubio,Subiendo hasta las 21:21h Night
"18-11, Friday",AM,2.1NNW,14,1541,25NNE,cross-off,Izquierda de la Santa,Subiendo hasta las 09:27h AM
